District_Name,Year,Yield
Rae Bareli,2018,2.5469810646659523
Rae Bareli,2019,2.498858181971962
Rae Bareli,2020,2.696926191348643
Rae Bareli,2021,2.8709967573451047
Rae Bareli,2022,2.8359645394377315
Rae Bareli,2023,2.971001803112038
Rae Bareli,2024,1.6139985188016628
Rampur,2015,3.045000783124088
Rampur,2016,3.222997882186838
Rampur,2017,3.3809705275908297
Rampur,2018,3.464996940227529
Rampur,2019,3.269998990884322
Rampur,2020,3.3969999171247824
Rampur,2021,3.4990005136249427
Rampur,2022,3.4719993158397355
Rampur,2023,3.450002376474263
Rampur,2024,1.7899977003097818
Saharanpur,2015,2.684997201773645
Saharanpur,2016,2.938998564878015
Saharanpur,2017,2.8849970051303417
Saharanpur,2018,2.9630014997452587
Saharanpur,2019,3.051998330654685
Saharanpur,2020,3.0
Saharanpur,2021,3.475999715762733
Saharanpur,2022,3.389002939181551
Saharanpur,2023,3.465000366488309
Saharanpur,2024,2.05499646595537
Sambhal,2022,3.2080032457133094
Sambhal,2023,3.521000893655049
Sambhal,2024,1.9770034017399063
Sant Kabeer Nagar,2015,2.1170050491314782
Sant Kabeer Nagar,2016,2.4560967766973065
Sant Kabeer Nagar,2017,2.639005421983679
Sant Kabeer Nagar,2018,2.7040038851715953
Sant Kabeer Nagar,2019,2.75700251861705
Sant Kabeer Nagar,2020,2.774995593548956
Sant Kabeer Nagar,2021,2.9079985594080475
Sant Kabeer Nagar,2022,2.9839973873285435
Sant Kabeer Nagar,2023,3.299002277410259
Sant Kabeer Nagar,2024,2.4750005523519145
Sant Ravidas Nagar,2015,2.06200438670491
Sant Ravidas Nagar,2016,2.4439962031324156
Sant Ravidas Nagar,2017,2.196997328130964
Sant Ravidas Nagar,2018,2.606902320792759
Sant Ravidas Nagar,2019,2.2340063143901627
Sant Ravidas Nagar,2020,2.8690012098400324
Sant Ravidas Nagar,2021,3.143131300350078
Sant Ravidas Nagar,2022,2.846878949222068
Sant Ravidas Nagar,2023,2.730006636801062
Sant Ravidas Nagar,2024,1.542980867320384
Shahjahanpur,2015,3.5
Shahjahanpur,2016,3.4420002375579046
Shahjahanpur,2017,3.6040028160514934
Shahjahanpur,2018,3.6049982672253553
Shahjahanpur,2019,3.5779983948883367
Shahjahanpur,2020,3.6009993748898044
Shahjahanpur,2021,3.8029989240439765
Shahjahanpur,2022,3.6310005411603536
Shahjahanpur,2023,3.6620004701457454
Shahjahanpur,2024,1.9849997312467846
Shamli,2022,3.7599984010553036
Shamli,2023,3.743990514174841
Shamli,2024,3.030002434274586
Shravasti,2015,2.2709978349465105
Shravasti,2016,2.6229931879642625
Shravasti,2017,2.3140070623843956
Shravasti,2018,2.668993266546231
Shravasti,2019,2.6708886829368756
Shravasti,2020,2.7160077687356545
Shravasti,2021,2.9539937149069897
Shravasti,2022,2.6889961904463293
Shravasti,2023,3.0509953755921497
Shravasti,2024,2.676006748331255
Siddharth Nagar,2015,2.563998262584199
Siddharth Nagar,2016,2.5199984296996147
Siddharth Nagar,2017,2.2450027222524693
Siddharth Nagar,2018,2.528002152402021
Siddharth Nagar,2019,2.331002694738358
Siddharth Nagar,2020,3.1380011548213793
Siddharth Nagar,2021,3.4109974051351677
Siddharth Nagar,2022,3.5469999937454264
Siddharth Nagar,2023,3.779001500978486
Siddharth Nagar,2024,2.5270019313623533
Sitapur,2015,2.3930024088773054
Sitapur,2016,2.7364138544911905
Sitapur,2017,2.7678495695322107
Sitapur,2018,2.9320003751457038
Sitapur,2019,2.647000236711761
Sitapur,2020,3.06500170426804
Sitapur,2021,3.159997961632362
Sitapur,2022,3.182000415063014
Sitapur,2023,3.0890002465249466
Sitapur,2024,1.7849958068767222
Sonbhadra,2015,1.0162327272727272
Sonbhadra,2016,1.2944619281547436
Sonbhadra,2017,1.5902311539674672
Sonbhadra,2018,1.5055906354234407
Sonbhadra,2019,1.9036901150074084
Sonbhadra,2020,1.7230672206558837
Sonbhadra,2021,1.8880155767135278
Sonbhadra,2022,2.1393698345222676
Sonbhadra,2023,2.34883238552884
Sonbhadra,2024,2.0352835314679263
Sultanpur,2015,2.5799907847511885
Sultanpur,2016,2.726933909068431
Sultanpur,2017,2.794979848269322
Sultanpur,2018,2.8219951504710887
Sultanpur,2019,2.729910621983566
Sultanpur,2020,3.1678855449112238
Sultanpur,2021,3.1880022246514392
Sultanpur,2022,3.1139966176512743
Sultanpur,2023,2.4580047961630695
Sultanpur,2024,2.290004314684309
Unnao,2015,2.3809018324906774
Unnao,2016,2.8628767491926803
Unnao,2017,2.6489993898179183
Unnao,2018,2.9569895251877885
Unnao,2019,2.7599050567421117
Unnao,2020,2.9650016733601072
Unnao,2021,2.983980790242241
Unnao,2022,2.8570006621882196
Unnao,2023,3.047998278979137
Unnao,2024,2.0069987005937793
Varanasi,2015,2.144497497223144
Varanasi,2016,2.5346618461450174
Varanasi,2017,2.541572357489566
Varanasi,2018,2.822997934832492
Varanasi,2019,2.512917676226968
Varanasi,2020,2.8029642422354972
Varanasi,2021,3.022281281425083
Varanasi,2022,3.0788178753317554
Varanasi,2023,2.7227337569705616
Varanasi,2024,1.8509990235655887
